"","Company","Job_post","Job_location","Salary_in_thousands","Experience_in_years","Skills"
"each_skill.1121","Netskope","Lead / Senior Software Development Engineer, Saas API","Bangalore",621,5,"operating systems | mathematical aptitude | databases"
"each_skill.1131","SmartStream Technologies","Software Engineer","Mumbai",639,3,"programming | problem solving | mathematical aptitude"
"each_skill.1141","SL Technology","Experienced Software Engineer - Laravel PHP Experience Needed","New Delhi",269,1,"databases | programming | operating systems"
"each_skill.1151","OLX Group","Backend Software Engineer I/II/III","Gurgaon",446,1,"mathematical aptitude | programming | problem solving"
"each_skill.1161","Advanced","Software Engineer","Gujarat",413,2,"data structures and algorithms | programming | databases"
"each_skill.1171","Philips","Software Integration & Config. Engineer","Pune",215,5,"operating systems | programming | mathematical aptitude"
"each_skill.1181","Sparta Systems","Software Engineer","Mumbai",478,5,"operating systems | databases | problem solving"
"each_skill.1191","Cisco Systems","Software Lead Engineer - UI with Optical Domain (DWDM/ Prime Optical/ Transport Manager)","Bangalore",450,2,"databases | problem solving | operating systems"
"each_skill.1201","Red Hat","Associate Software Quality Engineer","Bangalore",601,6,"programming | databases | data structures and algorithms"
"each_skill.1211","DELL","Software Senior Principal Engineer (C# .Net)","Bangalore",235,6,"mathematical aptitude | data structures and algorithms | problem solving"
"each_skill.1221","Enigma Tech","Senior Software Developer","North Goa",667,1,"data structures and algorithms | databases | mathematical aptitude"
"each_skill.1231","Amazon","Software Development Engineer Intern","Bangalore",234,4,"operating systems | programming | problem solving"
"each_skill.1241","Druva","Staff Software Development Engineer in Test - SFDC","Pune",489,4,"data structures and algorithms | mathematical aptitude | databases"
"each_skill.1251","Deutsche Bank","Software Engineer / Developer for Enterprise Risk Technology – Risk Methodologies.","Pune",229,6,"problem solving | operating systems | programming"
"each_skill.1261","Manappuram Finance Limited","Software Engineers - Freshers","Thrissur",663,2,"operating systems | mathematical aptitude | data structures and algorithms"
"each_skill.1271","Dreamsoftech Pvt. Ltd.","Software Engineer","Jaipur",407,1,"programming | operating systems | mathematical aptitude"
"each_skill.1281","WELLS FARGO BANK","Software Engineer","India",394,2,"databases | programming | data structures and algorithms"
"each_skill.1291","Enum Infotech LLP","Software Engineer Intern","India",658,4,"mathematical aptitude | operating systems | programming"
"each_skill.1301","Appfoster Innovations Pvt Ltd","Software Engineer","Noida",351,2,"problem solving | operating systems | mathematical aptitude"
"each_skill.1311","amdocs","Software Engineer","Pune",272,1,"databases | programming | mathematical aptitude"
"each_skill.1321","Vamstar","Junior Software Engineer","Bangalore",427,2,"databases | data structures and algorithms | problem solving"
"each_skill.1331","Gunaatita Technology Pvt Ltd","Software Engineer Trainee","Noida",666,5,"programming | problem solving | databases"
"each_skill.1341","Orange","Software Engineer","India",229,5,"problem solving | data structures and algorithms | mathematical aptitude"
"each_skill.1351","Apple","Software Engineer","Hyderabad",273,6,"programming | databases | data structures and algorithms"
"each_skill.1361","Indocosmo Systems Pvt.Ltd","Fresher / Entry Level - Software Engineer -Kochi","Cochin",693,0,"programming | operating systems | databases"
"each_skill.1371","Cerner Corporation","Software Engineer","Bangalore",567,3,"mathematical aptitude | databases | data structures and algorithms"
"each_skill.1381","ADCI HYD 13 SEZ","Software Engineer","Hyderabad",691,2,"programming | mathematical aptitude | operating systems"
"each_skill.1391","adidas","Software Engineer (m/f/d)","Gurgaon",233,0,"operating systems | mathematical aptitude | problem solving"
"each_skill.1401","Aurguz Global Solutions","Trainee Software Engineer","Chennai",680,2,"programming | data structures and algorithms | problem solving"
"each_skill.1411","SRS Software Logics","Software Engineer Trainee/Internship","Cochin",291,3,"operating systems | data structures and algorithms | databases"
"each_skill.1421","Exceloid Soft Systems","Associate Software Engineer","Hyderabad",413,3,"mathematical aptitude | operating systems | data structures and algorithms"
"each_skill.1431","Apple","Software Localisation Quality Engineer - Hindi","Hyderabad",239,3,"problem solving | operating systems | databases"
"each_skill.1441","Cdrive Software Solutions","Software Engineer","Vijayawada",235,4,"programming | operating systems | data structures and algorithms"
"each_skill.1451","Xpertios Solutions","Software QA Engineer","Pune",432,2,"data structures and algorithms | problem solving | mathematical aptitude"
"each_skill.1461","iTechManage Cybermatics Pvt. Ltd.","Software Test Engineer","Hyderabad",338,2,"problem solving | data structures and algorithms | programming"
"each_skill.1471","ipowerFourTechnologies","Software Test Engineer","Telangana",561,0,"data structures and algorithms | programming | operating systems"
"each_skill.1481","JCX Solutions Pvt. Ltd.","General (Mixed Products) or Health Software Functional Test Engineer","Mumbai",562,4,"data structures and algorithms | databases | problem solving"
"each_skill.1491","FameLogic","Junior Software Engineer","Bangalore",421,2,"databases | mathematical aptitude | data structures and algorithms"
"each_skill.1501","Qrata","Senior Software Engineer - Flutter","Bangalore",585,3,"databases | mathematical aptitude | programming"
"each_skill.1511","TSYS","Software Engineer Senior (G1)","Pune",633,5,"mathematical aptitude | programming | operating systems"
"each_skill.1521","Zewia Software Solutions(P) Ltd.","Software Engineer Trainee","Thiruvananthapuram",545,3,"data structures and algorithms | programming | problem solving"
"each_skill.1531","Reliance Jio Infocomm Limited","Software Test Engineer","Mumbai",362,0,"mathematical aptitude | operating systems | databases"
"each_skill.154","Ainetx Software Company","Software Engineer","Gondia",258,5,"mathematical aptitude | operating systems | programming"
"each_skill.155","PayPal","Software Engineer 2-1","Chennai",384,6,"problem solving | databases | data structures and algorithms"
"each_skill2","Saavn","Software Engineer - Search","Mumbai",298,6,"java | API | android studio"
"each_skill.158","Vagaro","Sr. Android Developer","Ahmedabad",476,4,"java | android sdk | xml"
"each_skill.212","TMS Falcon, LLC.","iOS Developer","Ludhiana",303,5,"xml | android sdk | database handling"
"each_skill.312","Trustycoders","Wordpress and PHP Developer/Designer","Kharar",252,1,"java | android studio | API"
"each_skill.412","La Verne Infotech Pvt Ltd","PHP Developer","Vadodara",449,1,"database handling | API | java"
"each_skill.512","SmarTECHS","Experienced Full Stack Developer: Android/Angular and JAVA EE","Bangalore",256,2,"android studio | database handling | xml"
"each_skill.612","Trimble MAPS","Senior Software Engineer","Chennai",464,2,"java | android sdk | android studio"
"each_skill.712","Infozium","Flutter Developer","Surat",235,1,"android sdk | android studio | xml"
"each_skill.812","BlueJeans","Lead Software Engineer - Windows App Development","Bangalore",390,1,"android sdk | API | java"
"each_skill.912","Zamorins Solutions Pvt Ltd.","Senior Software Developer","Thrissur",467,4,"android studio | android sdk | database handling"
"each_skill.1012","DataCore Software","Software / Senior Software Engineer (Windows Services & Desktop Applications)","Bangalore",381,5,"API | java | xml"
"each_skill.1112","Parexel International","Senior Software Engineer","Hyderabad",487,5,"java | database handling | android sdk"
"each_skill.1212","JAIG Data Science Pvt Ltd","Senior Ionic Developer","Remote",471,3,"android studio | android sdk | database handling"
"each_skill.1312","Enigma Tech","Hybrid App Developer ( React Native App Developer / Flutter App Developer)","North Goa",404,5,"API | xml | java"
"each_skill.1412","HR Geckos / Geckos Business Solutions Pvt. Ltd.","Mobile Application Developer","Visakhapatnam",499,5,"android studio | API | xml"
"each_skill.159","Teleone Consumers Product Pvt. ltd","Android App Developer - Experience","New Delhi",448,2,"database handling | android sdk | API"
"each_skill.162","Calypso Technology","Software Engineer","Chennai",226,6,"API | xml | java"
"each_skill.172","Valorem Reply","Lead Software Engineer","Cochin",498,4,"android sdk | xml | database handling"
"each_skill.182","Tintri","Software Engineer","Pune",363,2,"java | android sdk | xml"
"each_skill.192","Enigma Tech","Senior Software Developer","North Goa",212,2,"android studio | java | android sdk"
"each_skill.202","KVH Industries","Web Front End - Software Engineer (IoT)","New Delhi",297,6,"database handling | android studio | xml"
"each_skill.213","Neustar","Software Engineer in Test I– IPI Team","Bangalore",315,5,"xml | android studio | API"
"each_skill.222","Consulero Inc. | Felix Business Solutions","Senior Lead Full Stack IMS ERP EDI Developer LARAVEL PHP [INDIA |CANPREV]","Vasant Kunj",205,0,"database handling | xml | android sdk"
"each_skill.232","India Software Company","IOS developer","Karnataka",361,4,"database handling | java | android studio"
"each_skill.242","McAfee","Android Developer","Bangalore",436,2,"android sdk | android studio | java"
"each_skill.252","Dev Company Software","iOS Developer","Bangalore",230,0,"java | xml | API"
"each_skill.262","Pardy Panda Studios Pvt. Ltd.","Senior Android Developer - Java/RxJava or Kotlin/RxKotlin","Vadodara",461,5,"android sdk | API | xml"
"each_skill.272","Geckos Business Solutions Pvt. Ltd.","Software Engineer/Web Developer","Visakhapatnam",354,4,"API | android studio | android sdk"
"each_skill.282","Babysoft Software","PHP Developer","Lucknow",224,3,"database handling | java | API"
"each_skill.292","RV Technologies Softwares Pvt Ltd","Android Developer","SAS Nagar",292,5,"xml | API | database handling"
"each_skill.302","PG Softwares","Android Developer","Coimbatore",245,1,"API | xml | java"
"each_skill.313","SmarTECHS","Experienced Full Stack Developer: Android/Angular and JAVA EE","Bangalore",293,5,"android sdk | xml | API"
"each_skill.322","RV Technologies Softwares Pvt Ltd","Android Developer","Mohali",395,4,"android sdk | API | database handling"
"each_skill.332","MI TECH SOLUTIONS","Android Application Developer","Pune",401,3,"xml | database handling | android studio"
"each_skill.342","Shaw Academy","Hybrid Mobile Developer for a Product Based Company","Bangalore",346,2,"xml | API | java"
"each_skill.352","Ghrix Technologies Pvt. Ltd.","Senior Android Developer","Mohali",338,6,"database handling | java | android studio"
"each_skill.362","RaRa Delivery","Android Developer","Delhi",244,3,"java | xml | API"
"each_skill.372","Lion Vision InfoTech Solution","Android Developer","Ahmedabad",209,1,"android sdk | android studio | java"
"each_skill.382","Seken Information Systems India Private Ltd.","Android Developer Urgently Required , Hi-Tech City Location.","Hyderabad",480,6,"API | java | android studio"
"each_skill.392","Patient Bond India Private Limited","Urgent requirement for Mobile Application Developer (Android / IOS)","Mohali",399,2,"xml | database handling | API"
"each_skill.402","CityTrux","Urgently Hiring Android Developer","Pune",246,2,"xml | database handling | API"
"each_skill.413","Pavansgroup Techsoft Pvt Ltd","Sr. Android Developer Required","Vadodara",335,1,"database handling | android sdk | API"
"each_skill.422","Medcity International Academy","Android Developer","Cannanore",281,1,"android sdk | java | database handling"
"each_skill.432","Mitron TV Pvt Ltd","Android Developer","Bangalore",247,2,"java | android sdk | database handling"
"each_skill.442","Cubix Business Systems","Android Application Developer","Thiruvananthapuram",392,1,"xml | API | java"
"each_skill.452","Tekit Solutions","Junior Android Developer","Indore",481,6,"android studio | xml | database handling"
"each_skill.462","A2Z Sourcetech Pvt Ltd (a2zsource.in)","Android Application Developer","Bangalore",458,4,"database handling | xml | android studio"
"each_skill.472","Cliffex","Android | Flutter Developer","Delhi",474,2,"android studio | database handling | java"
"each_skill.482","ABI Technologies","Android Application Developer","Bangalore",374,1,"API | android studio | android sdk"
"each_skill.492","Neumsoft Innovations Private Limited","Android Developer","Bangalore",322,3,"xml | database handling | android studio"
"each_skill.502","Terra EE Source Infotech LLP","Android Developer","Bangalore",244,3,"android sdk | database handling | API"
"each_skill.513","JVM Tech Solutions","Freelance Senior Android Application Developer","Bangalore",459,2,"API | xml | android sdk"
"each_skill.522","IBM","Application Developer: Mobile Android","Chennai",330,6,"android sdk | API | database handling"
"each_skill.532","Dusane Infotech Pvt Ltd","Android Developer","Thane",207,4,"android sdk | xml | API"
"each_skill.542","Web Partners Services Pvt. Ltd.","Software Developer (Android)","Mumbai",456,4,"xml | API | database handling"
"each_skill.552","Sandstrom Infotech Pvt. Ltd.","Android Application Developer","Delhi",478,5,"database handling | java | API"
"each_skill.562","Bridge International Academies","Senior Android Developer","Hyderabad",339,5,"xml | database handling | android studio"
"each_skill.572","Mobicule Technologies Pvt. Ltd.","Android Application Developer","Mumbai",450,5,"android studio | API | xml"
"each_skill.582","Imcrinox Technologies Private Limited","Android Developer","Bangalore",299,4,"android sdk | database handling | API"
"each_skill.592","Qrata","Android Developer","Bangalore",440,3,"java | android sdk | API"
"each_skill.602","Intellifour Software","Android Developer","Bangalore",457,6,"android studio | java | android sdk"
"each_skill.613","DELL","Software Engineer 2 - India R & D","Bangalore",295,0,"API | java | android studio"
"each_skill.622","J.P. Morgan","CT-RDT-Accounts- Java Developer","Mumbai",235,0,"API | xml | database handling"
"each_skill.632","WildHerbs","Android Developer","Cochin",277,6,"xml | android sdk | API"
"each_skill.642","Simplified Software Solutions India","Android Developer","Mumbai",348,0,"android sdk | xml | java"
"each_skill.652","Creative Thoughts Informatics","Android Developer","Indore",489,6,"API | android sdk | java"
"each_skill.662","Atlas Software Technologies","Android Developer","Calcutta",453,1,"android studio | xml | API"
"each_skill.672","Technomobs Solutions","Android Developer","Cochin",388,3,"xml | API | database handling"
"each_skill.682","SSTech System","Android Developer","Ahmedabad",365,5,"xml | java | android sdk"
"each_skill.692","Oliveboard","Android Developer","Bangalore",293,2,"database handling | java | API"
"each_skill.702","iDreams Technologies","Android Developer","Nagpur",369,4,"database handling | android studio | android sdk"
"each_skill.713","Dexlock","Android Developer","Eranakulam",292,2,"database handling | android sdk | xml"
"each_skill.722","TIGI HR SOLUTION","Android Developer","Ahmedabad",376,1,"database handling | java | API"
"each_skill.732","Quinnox Consultancy Services Limited","Android Developer","Bangalore",360,5,"android sdk | android studio | xml"
"each_skill.742","Blue Apps","Android Developer","Bangalore",326,3,"database handling | xml | java"
"each_skill.752","Saavn","Software Engineer - Search","Mumbai",365,0,"android sdk | database handling | android studio"
"each_skill.762","MNR Solutions Private Limited","Android Developer","Bangalore",269,0,"android sdk | android studio | xml"
"each_skill.772","GenX Technologies","Android Developer","Lucknow",273,3,"database handling | android sdk | android studio"
"each_skill.782","Linkites","Android Developer","Indore",485,4,"android studio | android sdk | java"
"each_skill.792","DataCore Software","Software / Senior Software Engineer ( Windows Systems, Kernel, Device Driver Developer)","Bangalore",226,4,"android sdk | android studio | API"
"each_skill.802","Jploft Solutions Pvt.Ltd.","Android Developer","Jaipur",364,3,"android sdk | java | android studio"
"each_skill.813","Brinqa","Sr. Software Developer (Deployment Services)","Bangalore",228,5,"xml | database handling | API"
"each_skill.822","Integral Ad Science","UI Software Engineer","Pune",321,6,"API | xml | android sdk"
"each_skill.832","Darshan Soft-Tech","Mobile Application Developer (Android)","Vadodara",266,1,"java | android studio | API"
"each_skill.842","Innoplexus","Android Developer","Pune",226,3,"API | database handling | java"
"each_skill.852","GroundTruth","Senior Software Engineer, Mobile Developer","Gurgaon",438,0,"xml | java | API"
"each_skill.862","Varuna Integrated Logistics","Android Developer","Gurgaon",400,0,"android studio | database handling | java"
"each_skill.872","Celexa","Android Developer","Chennai",208,5,"android studio | API | xml"
"each_skill.882","MLM Yug","Android Developer","Jaipur",310,5,"java | android sdk | API"
"each_skill.892","Easygolife Web Solutions","Android Developer","Mumbai",475,0,"android sdk | API | android studio"
"each_skill.902","Healthcoco Technologies","Android Developer","Nagpur",431,4,"API | android studio | java"
"each_skill.913","vuykont","Android Developer","Pune",311,4,"java | android sdk | database handling"
"each_skill.922","Calibraint","Android Developer","Chennai",222,5,"android sdk | API | java"
"each_skill.932","RaRa Delivery","Android Developer","Delhi",312,0,"xml | API | android sdk"
"each_skill.942","Seken Information Systems India Private Ltd.","Android Developer Urgently Required , Hi-Tech City Location.","Hyderabad",260,0,"xml | database handling | android sdk"
"each_skill.952","Patient Bond India Private Limited","Urgent requirement for Mobile Application Developer (Android / IOS)","Mohali",353,4,"java | xml | android sdk"
"each_skill.962","Medcity International Academy","Android Developer","Cannanore",289,5,"database handling | java | xml"
"each_skill.972","Mitron TV Pvt Ltd","Android Developer","Bangalore",359,5,"xml | API | java"
"each_skill.982","Cubix Business Systems","Android Application Developer","Thiruvananthapuram",446,6,"java | database handling | xml"
"each_skill.992","Tekit Solutions","Junior Android Developer","Indore",210,6,"xml | android studio | API"
"each_skill.1002","A2Z Sourcetech Pvt Ltd (a2zsource.in)","Android Application Developer","Bangalore",261,3,"API | database handling | android sdk"
"each_skill.1013","ABI Technologies","Android Application Developer","Bangalore",204,0,"android studio | java | API"
"each_skill.1022","Neumsoft Innovations Private Limited","Android Developer","Bangalore",397,4,"xml | API | java"
"each_skill.1032","Terra EE Source Infotech LLP","Android Developer","Bangalore",281,2,"database handling | android studio | API"
"each_skill.1042","JVM Tech Solutions","Freelance Senior Android Application Developer","Bangalore",292,3,"database handling | API | xml"
"each_skill.1052","IBM","Application Developer: Mobile Android","Chennai",312,0,"API | java | database handling"
"each_skill.1062","Dusane Infotech Pvt Ltd","Android Developer","Thane",242,5,"android sdk | xml | database handling"
"each_skill.1072","Web Partners Services Pvt. Ltd.","Software Developer (Android)","Mumbai",359,2,"android studio | database handling | xml"
"each_skill.1082","Sandstrom Infotech Pvt. Ltd.","Android Application Developer","Delhi",428,1,"database handling | android sdk | API"
"each_skill.1092","Bridge International Academies","Senior Android Developer","Hyderabad",300,2,"android studio | database handling | java"
"each_skill.1102","Mobicule Technologies Pvt. Ltd.","Android Application Developer","Mumbai",378,2,"java | android studio | database handling"
"each_skill.1113","Imcrinox Technologies Private Limited","Android Developer","Bangalore",215,5,"API | xml | android sdk"
"each_skill.1122","Qrata","Android Developer","Bangalore",316,4,"API | android sdk | android studio"
"each_skill.1132","Intellifour Software","Android Developer","Bangalore",337,6,"API | android studio | database handling"
"each_skill.1142","Insuris Services","Android Application Developer","Bangalore",306,5,"database handling | java | API"
"each_skill.1152","Apptivism Pvt Ltd","Flutter Developer","Hyderabad",314,5,"xml | java | android studio"
"each_skill.1162","Tech Exactly","Android Developer","Calcutta",200,3,"android sdk | database handling | xml"
"each_skill.1172","Sentient Software Solution Pvt Ltd","Android Developer","Chennai",390,1,"java | API | database handling"
"each_skill.1182","Inkprog Technologies Pvt Ltd.","Android Developer","Hyderabad",417,1,"android sdk | database handling | android studio"
"each_skill.1192","ThiDiff Technologies","Android Developer","Bangalore",298,4,"android sdk | database handling | xml"
"each_skill.1202","Uniqubic Solutions Pvt Ltd","Junior Android Developer (Immediate Joiner) (Kotlin)","Gurgaon",337,1,"android sdk | database handling | android studio"
"each_skill.1213","Gigacure Healthcare Analytics Pvt Ltd","Android Application Developer","Bangalore",467,3,"java | API | xml"
"each_skill.1222","Muraya network pvt ltd","Android Developer","Coimbatore",316,4,"API | android studio | java"
"each_skill.1232","RaRa Delivery","Android Developer","Delhi",372,5,"xml | API | android studio"
"each_skill.1242","Seken Information Systems India Private Ltd.","Android Developer Urgently Required , Hi-Tech City Location.","Hyderabad",479,5,"xml | android sdk | API"
"each_skill.1252","Patient Bond India Private Limited","Urgent requirement for Mobile Application Developer (Android / IOS)","Mohali",203,1,"android studio | database handling | java"
"each_skill.1262","Medcity International Academy","Android Developer","Cannanore",467,3,"API | xml | database handling"
"each_skill.1272","Mitron TV Pvt Ltd","Android Developer","Bangalore",497,2,"java | xml | android sdk"
"each_skill.1282","Cubix Business Systems","Android Application Developer","Thiruvananthapuram",477,4,"database handling | API | xml"
"each_skill.1292","Tekit Solutions","Junior Android Developer","Indore",202,5,"database handling | java | API"
"each_skill.1302","A2Z Sourcetech Pvt Ltd (a2zsource.in)","Android Application Developer","Bangalore",257,3,"android studio | xml | java"
"each_skill.1313","ABI Technologies","Android Application Developer","Bangalore",467,6,"database handling | android sdk | java"
"each_skill.1322","Neumsoft Innovations Private Limited","Android Developer","Bangalore",219,0,"API | xml | database handling"
"each_skill.1332","Terra EE Source Infotech LLP","Android Developer","Bangalore",475,3,"database handling | API | android sdk"
"each_skill.1342","JVM Tech Solutions","Freelance Senior Android Application Developer","Bangalore",324,4,"android studio | java | API"
"each_skill.1352","IBM","Application Developer: Mobile Android","Chennai",338,2,"xml | API | android sdk"
"each_skill.1362","Dusane Infotech Pvt Ltd","Android Developer","Thane",289,4,"java | android studio | android sdk"
"each_skill.1372","Web Partners Services Pvt. Ltd.","Software Developer (Android)","Mumbai",380,3,"xml | API | java"
"each_skill.1382","Sandstrom Infotech Pvt. Ltd.","Android Application Developer","Delhi",446,2,"java | android studio | database handling"
"each_skill.1392","Bridge International Academies","Senior Android Developer","Hyderabad",216,1,"xml | android studio | android sdk"
"each_skill.1402","Mobicule Technologies Pvt. Ltd.","Android Application Developer","Mumbai",471,6,"xml | java | database handling"
"each_skill.1413","Imcrinox Technologies Private Limited","Android Developer","Bangalore",362,3,"java | xml | database handling"
"each_skill.1422","Qrata","Android Developer","Bangalore",240,1,"android sdk | API | java"
"each_skill.1432","Intellifour Software","Android Developer","Bangalore",472,2,"xml | API | android sdk"
"each_skill.1442","Insuris Services","Android Application Developer","Bangalore",220,1,"android studio | API | java"
"each_skill.1452","Apptivism Pvt Ltd","Flutter Developer","Hyderabad",394,5,"android sdk | database handling | java"
"each_skill.1462","Tech Exactly","Android Developer","Calcutta",254,0,"android studio | API | android sdk"
"each_skill.1472","Sentient Software Solution Pvt Ltd","Android Developer","Chennai",402,6,"android studio | java | xml"
"each_skill.1482","Inkprog Technologies Pvt Ltd.","Android Developer","Hyderabad",321,3,"android sdk | xml | database handling"
"each_skill.1492","ThiDiff Technologies","Android Developer","Bangalore",322,0,"API | database handling | android studio"
"each_skill.1502","Uniqubic Solutions Pvt Ltd","Junior Android Developer (Immediate Joiner) (Kotlin)","Gurgaon",333,0,"API | android sdk | android studio"
"each_skill.1512","Gigacure Healthcare Analytics Pvt Ltd","Android Application Developer","Bangalore",472,4,"android studio | java | database handling"
"each_skill.1522","Muraya network pvt ltd","Android Developer","Coimbatore",467,2,"android studio | API | java"
"each_skill3","S.S.Opal Solutions","System Administrator","Bangalore Rural",428,0,"analytical abilities | software development | debugging"
"each_skill.160","Sensoft Solutions Pvt Ltd","IT Project Manager","Puducherry",442,5,"problem solving | debugging | object-oriented design"
"each_skill.214","Marg Hospitality","IT Executive","Kerala",209,5,"analytical abilities | software development | debugging"
"each_skill.314","Sigma AVIT Technology Solutions Pvt Ltd","Senior IT and Network Administrator","Bangalore",267,4,"analytical abilities | programming | object-oriented design"
"each_skill.414","SRI LAXMI TIMBERS PVT LTD.,","IT Manager/Network Administrator","Puducherry",231,0,"analytical abilities | object-oriented design | debugging"
"each_skill.514","eClinicalworks India Pvt Ltd","NOC - System Admin (5 Days working / Rotational Shifts)","Ahmedabad",440,4,"software development | programming | analytical abilities"
"each_skill.614","Zewia Software Solutions Pvt Ltd (Trivandrum/Kochi)","Junior IT Engineer","Thiruvananthapuram",468,3,"problem solving | debugging | analytical abilities"
"each_skill.714","Infozium","IT Project Manager","Surat",343,3,"problem solving | debugging | programming"
"each_skill.814","VIBCHEM INDIA","Systems & Network Administrator","Indore",286,6,"object-oriented design | programming | debugging"
"each_skill.914","Bajaj Allianz General Insurance Company","IT Support Virtual Office","Pune",210,4,"debugging | software development | problem solving"
"each_skill.1014","IBRONIX Technology Solutions PVT LTD","IT Helpdesk Engineer","Chennai",472,5,"software development | problem solving | programming"
"each_skill.1114","Agile Practitioners, LLC","US IT Recruiter","Delhi",203,4,"object-oriented design | analytical abilities | software development"
"each_skill.1214","Mastree","Non IT Recruiter","Remote",482,1,"analytical abilities | programming | software development"
"each_skill.1314","SuperProcure","Product Manager - IT (Remote)","India",449,2,"object-oriented design | analytical abilities | programming"
"each_skill.1414","Survik software Pvt. Ltd.","IT Recruiter","Maharashtra",381,2,"debugging | software development | problem solving"
"each_skill.1510","Discover Dollar","IT Security & Compliance Manager","India",274,6,"software development | object-oriented design | problem solving"
"each_skill.163","BIGHNESH CORPORATION","Assistant Manager - IT Infrastrusture(From Manufacturing Company Only)","Calcutta",391,0,"software development | object-oriented design | problem solving"
"each_skill.173","SK Minerals","Group IT Manager","Khanna",259,0,"debugging | software development | object-oriented design"
"each_skill.183","Agro Indus Credits Limited","Support Executive-IT","Cochin",439,4,"programming | analytical abilities | object-oriented design"
"each_skill.193","PreventiNe Life Care","IT Support Technician","Navi Mumbai",477,0,"problem solving | object-oriented design | programming"
"each_skill.203","KC Garments Pvt Ltd","System Administrator","India",447,4,"problem solving | analytical abilities | debugging"
"each_skill.215","YMCA International Club","IT manager","Ahmedabad",442,2,"problem solving | debugging | programming"
"each_skill.223","Dresser-Rand India Private Limited","Head of IT Delivery Center","Gurgaon",229,3,"software development | debugging | object-oriented design"
"each_skill.233","4moles.com","Project Manager - IT","Bhikaji Cama Place",486,6,"object-oriented design | debugging | software development"
"each_skill.243","Blancco","Jr. IT system administrator","Pune",483,2,"analytical abilities | debugging | programming"
"each_skill.253","FoxyMoron Media Solutions Pvt Ltd","IT Manager","Mumbai",368,0,"analytical abilities | programming | software development"
"each_skill.263","PATTERNS","IT Hardware & Networking engineer","Vadodara",418,3,"object-oriented design | software development | programming"
"each_skill.273","Unusual Hire","IT Support Executive","Bangalore",272,1,"debugging | programming | object-oriented design"
"each_skill.283","South India Agencies","IT Executive","Bangalore",362,5,"programming | analytical abilities | debugging"
"each_skill.293","SN Tech Sol Pvt Ltd","Online bidder (IT)- upwork, Guru , freelancer only exp candidates","Delhi",496,5,"object-oriented design | software development | debugging"
"each_skill.303","Infozium","IT Project Manager","Surat",491,1,"object-oriented design | debugging | programming"
"each_skill.315","OERLIKON","IT Service Desk Agent","Pune",479,0,"problem solving | analytical abilities | software development"
"each_skill.323","Divorcekart","IT Specialist","Pune",385,1,"debugging | analytical abilities | software development"
"each_skill.333","Cosmo Foundation","IT Manager","Lucknow",434,1,"debugging | analytical abilities | problem solving"
"each_skill.343","S.S.Opal Solutions","System Administrator","Bangalore Rural",409,5,"programming | object-oriented design | analytical abilities"
"each_skill.353","Sensoft Solutions Pvt Ltd","IT Project Manager","Puducherry",365,5,"problem solving | debugging | programming"
"each_skill.363","Marg Hospitality","IT Executive","Kerala",329,6,"object-oriented design | analytical abilities | debugging"
"each_skill.373","Sigma AVIT Technology Solutions Pvt Ltd","Senior IT and Network Administrator","Bangalore",336,3,"object-oriented design | problem solving | debugging"
"each_skill.383","TechMonarch Infocom LLP","System Administrator -IT","Ahmedabad",304,2,"object-oriented design | problem solving | debugging"
"each_skill.393","SRI LAXMI TIMBERS PVT LTD.,","IT Manager/Network Administrator","Puducherry",301,1,"programming | analytical abilities | debugging"
"each_skill.403","eClinicalworks India Pvt Ltd","NOC - System Admin (5 Days working / Rotational Shifts)","Ahmedabad",463,5,"software development | problem solving | analytical abilities"
"each_skill.415","Zewia Software Solutions Pvt Ltd (Trivandrum/Kochi)","Junior IT Engineer","Thiruvananthapuram",342,1,"analytical abilities | programming | debugging"
"each_skill.423","VIBCHEM INDIA","Systems & Network Administrator","Indore",232,0,"analytical abilities | problem solving | object-oriented design"
"each_skill.433","Bajaj Allianz General Insurance Company","IT Support Virtual Office","Pune",254,0,"analytical abilities | object-oriented design | problem solving"
"each_skill.443","IBRONIX Technology Solutions PVT LTD","IT Helpdesk Engineer","Chennai",250,0,"problem solving | analytical abilities | debugging"
"each_skill.453","Agile Practitioners, LLC","US IT Recruiter","Delhi",484,6,"object-oriented design | problem solving | software development"
"each_skill.463","Mastree","Non IT Recruiter","Remote",213,3,"problem solving | analytical abilities | debugging"
"each_skill.473","SuperProcure","Product Manager - IT (Remote)","India",334,2,"programming | software development | debugging"
"each_skill.483","Survik software Pvt. Ltd.","IT Recruiter","Maharashtra",384,3,"software development | debugging | programming"
"each_skill.493","Discover Dollar","IT Security & Compliance Manager","India",304,0,"analytical abilities | object-oriented design | programming"
"each_skill.503","BIGHNESH CORPORATION","Assistant Manager - IT Infrastrusture(From Manufacturing Company Only)","Calcutta",376,3,"programming | problem solving | analytical abilities"
"each_skill.515","SK Minerals","Group IT Manager","Khanna",400,0,"analytical abilities | problem solving | software development"
"each_skill.523","Agro Indus Credits Limited","Support Executive-IT","Cochin",276,0,"software development | analytical abilities | programming"
"each_skill.533","PreventiNe Life Care","IT Support Technician","Navi Mumbai",200,1,"debugging | programming | problem solving"
"each_skill.543","KC Garments Pvt Ltd","System Administrator","India",385,6,"analytical abilities | problem solving | software development"
"each_skill.553","YMCA International Club","IT manager","Ahmedabad",405,5,"object-oriented design | programming | analytical abilities"
